ID,ssf,pcBfat,lbm,ht,wt,sex,sport
1,109.1,19.75,63.32,195.9,78.9,f,B_Ball
2,102.8,21.3,58.55,189.7,74.4,f,B_Ball
3,104.6,19.88,55.36,177.8,69.1,f,B_Ball
4,126.4,23.66,57.18,185,74.9,f,B_Ball
5,80.3,17.64,53.2,184.6,64.6,f,B_Ball
6,75.2,15.58,53.77,174,63.7,f,B_Ball
7,87.2,19.99,60.17,186.2,75.2,f,B_Ball
8,97.9,22.43,48.33,173.8,62.3,f,B_Ball
9,75.1,17.95,54.57,171.4,66.5,f,B_Ball
10,65.1,15.07,53.42,179.9,62.9,f,B_Ball
11,171.1,28.83,68.53,193.4,96.3,f,B_Ball
12,76.8,18.08,61.85,188.7,75.5,f,B_Ball
13,117.8,23.3,48.32,169.1,63,f,B_Ball
14,90.2,17.71,66.24,177.9,80.5,f,Row
15,97.2,18.77,57.92,177.5,71.3,f,Row
16,99.9,19.83,56.52,179.6,70.5,f,Row
17,125.9,25.16,54.78,181.3,73.2,f,Row
18,69.9,18.04,56.31,179.7,68.7,f,Row
19,98,21.79,62.96,185.2,80.5,f,Row
20,96.8,22.25,56.68,177.3,72.9,f,Row
21,80.3,16.25,62.39,179.3,74.5,f,Row
22,74.9,16.38,63.05,175.3,75.4,f,Row
23,83,19.35,56.05,174,69.5,f,Row
24,91,19.2,53.65,183.3,66.4,f,Row
25,76.2,17.89,65.45,184.7,79.7,f,Row
26,52.6,12.2,64.62,180.2,73.6,f,Row
27,111.1,23.7,60.05,180.2,78.7,f,Row
28,110.7,24.69,56.48,176,75,f,Row
29,74.7,16.58,41.54,156,49.8,f,Row
30,113.5,21.47,52.78,179.7,67.2,f,Row
31,99.8,20.12,52.72,180.9,66,f,Row
32,80.3,17.51,61.29,179.5,74.3,f,Row
33,109.5,23.7,59.59,178.9,78.1,f,Row
34,123.6,22.39,61.7,182.1,79.5,f,Row
35,91.2,20.43,62.46,186.3,78.5,f,Row
36,49,11.29,53.14,176.8,59.9,f,Netball
37,110.2,25.26,47.09,172.6,63,f,Netball
38,89,19.39,53.44,176,66.3,f,Netball
39,98.3,19.63,48.78,169.9,60.7,f,Netball
40,122.1,23.11,56.05,183,72.9,f,Netball
41,90.4,16.86,56.45,178.2,67.9,f,Netball
42,106.9,21.32,53.11,177.3,67.5,f,Netball
43,156.6,26.57,54.41,174.1,74.1,f,Netball
44,101.1,17.93,55.97,173.6,68.2,f,Netball
45,126.4,24.97,51.62,173.7,68.8,f,Netball
46,114,22.62,58.27,178.7,75.3,f,Netball
47,70,15.01,57.28,183.3,67.4,f,Netball
48,77,18.14,57.3,174.4,70,f,Netball
49,148.9,26.78,54.18,173.3,74,f,Netball
50,80.1,17.22,42.96,168.6,51.9,f,Netball
51,156.6,26.5,54.46,174,74.1,f,Netball
52,115.9,23.01,57.2,176,74.3,f,Netball
53,181.7,30.1,54.38,172.2,77.8,f,Netball
54,71.6,13.93,57.58,182.7,66.9,f,Netball
55,143.5,26.65,61.46,180.5,83.8,f,Netball
56,200.8,35.52,53.46,179.8,82.9,f,Netball
57,68.9,15.59,54.11,179.6,64.1,f,Netball
58,103.6,19.61,55.35,171.7,68.8,f,Netball
59,71.3,14.52,55.39,170,64.8,f,Swim
60,54.6,11.47,52.23,170,59,f,Swim
61,88.2,17.71,59.33,180.5,72.1,f,Swim
62,95.4,18.48,61.63,173.3,75.6,f,Swim
63,47.5,11.22,63.39,173.5,71.4,f,Swim
64,55.6,13.61,60.22,181,69.7,f,Swim
65,62.9,12.78,55.73,175,63.9,f,Swim
66,52.5,11.85,48.57,170.3,55.1,f,Swim
67,62.6,13.35,51.99,165,60,f,Swim
68,49.9,11.77,51.17,169.8,58,f,Field
69,57.9,11.07,57.54,174.1,64.7,f,T_400m
70,109.6,21.3,68.86,175,87.5,f,Field
71,98.5,20.1,63.04,171.1,78.9,f,Field
72,136.3,24.88,63.03,172.7,83.9,f,Field
73,103.6,19.26,66.85,175.6,82.8,f,Field
74,102.8,19.51,59.89,171.6,74.4,f,Field
75,131.9,23.01,72.98,172.3,94.8,f,Field
76,33.8,8.07,45.23,171.4,49.2,f,T_400m
77,43.5,11.05,55.06,178,61.9,f,T_Sprnt
78,46.2,12.39,46.96,162,53.6,f,T_400m
79,73.9,15.95,53.54,167.3,63.7,f,T_400m
80,36.8,9.91,47.57,162,52.8,f,T_400m
81,67,16.2,54.63,170.8,65.2,f,T_400m
82,41.1,9.02,46.31,163,50.9,f,T_400m
83,59.4,14.26,49.13,166.1,57.3,f,T_400m
84,48.4,10.48,53.71,176,60,f,T_400m
85,50,11.64,53.11,163.9,60.1,f,T_Sprnt
86,54.6,12.16,46.12,173,52.5,f,T_400m
87,42.3,10.53,53.41,177,59.7,f,T_400m
88,46.1,10.15,51.48,168,57.3,f,T_Sprnt
89,46.3,10.74,53.2,172,59.6,f,T_Sprnt
90,109,20.86,56.58,167.9,71.5,f,Tennis
91,98.1,19.64,56.01,177.5,69.7,f,Tennis
92,80.6,17.07,46.52,162.5,56.1,f,Tennis
93,68.3,15.31,51.75,172.5,61.1,f,Tennis
94,47.6,11.07,42.15,166.7,47.4,f,Tennis
95,61.9,12.92,48.76,175,56,f,Tennis
96,38.2,8.45,41.93,157.9,45.8,f,Tennis
97,43.5,10.16,42.95,158.9,47.8,f,Gym
98,56.8,12.55,38.3,156.9,43.8,f,Gym
99,41.6,9.1,34.36,148.9,37.8,f,Gym
100,58.9,13.46,39.03,149,45.1,f,Gym
101,44.5,8.47,61,172.7,67,m,Swim
102,41.8,7.68,69,176.5,74.4,m,Swim
103,33.7,6.16,74,183,79.3,m,Swim
104,50.9,8.56,80,194.4,87.5,m,Swim
105,40.5,6.86,78,193.4,83.5,m,Swim
106,51.2,9.4,71,180.2,78,m,Swim
107,54.4,9.17,71,183,78,m,Swim
108,52.3,8.54,78,184,85,m,Swim
109,57,9.2,77,192.7,84.7,m,Swim
110,65.3,11.72,81,187.2,92,m,Swim
111,52,8.44,66,183.9,72.3,m,Swim
112,42.7,7.19,77,192,83,m,Swim
113,35.2,6.46,91,190.4,96.9,m,Swim
114,49.2,9,78,190.7,85.7,m,Row
115,61.8,12.61,75,181.8,85.4,m,Row
116,46.5,9.03,78,188.3,85.3,m,Row
117,34.8,6.96,87,198,93.5,m,Row
118,60.2,10.05,78,186,86.8,m,Row
119,48.1,9.56,79,192,87.9,m,Row
120,44.5,9.36,79,185.6,87.2,m,Row
121,54,10.81,48,165.3,53.8,m,Row
122,44.7,8.61,82,185.6,89.8,m,Row
123,64.9,9.53,82,189,91.1,m,Row
124,43.8,7.42,82,193.4,88.6,m,Row
125,58.3,9.79,83,185.6,92.3,m,Row
126,52.8,8.97,88,194.6,97,m,Row
127,43.1,7.49,83,189,89.5,m,Row
128,78,11.95,78,188.1,88.2,m,Row
129,40.8,7.35,85,200.4,92.2,m,B_Ball
130,41.5,7.16,73,195.3,78.9,m,B_Ball
131,50.9,8.77,82,194.1,90.3,m,B_Ball
132,49.6,9.56,79,187.9,87,m,B_Ball
133,88.9,14.53,97,209.4,113.7,m,B_Ball
134,48.3,8.51,90,203.4,98,m,B_Ball
135,61.8,10.64,90,198.7,100.2,m,B_Ball
136,43,7.06,74,187.1,79.4,m,B_Ball
137,61.1,8.87,82,196.6,90.3,m,B_Ball
138,43.8,7.88,72,186.1,77.7,m,B_Ball
139,54.2,9.2,76,192.8,83.9,m,B_Ball
140,41.8,7.19,70,195.2,75.5,m,B_Ball
141,34.1,6.06,57,169.1,60.6,m,T_400m
142,30.5,5.63,67,186.6,71,m,T_400m
143,34,6.59,67,184.4,71.8,m,T_400m
144,46.7,9.5,70,187.3,76.8,m,T_400m
145,71.1,13.97,88,185.1,102.7,m,Field
146,65.9,11.66,83,185.5,94.2,m,Field
147,34.3,6.43,74,184.9,79,m,Field
148,34.6,6.99,62,175,66.6,m,T_400m
149,31.8,6,67,185.4,71.8,m,T_400m
150,34.5,6.56,70,181,74.8,m,T_400m
151,31,6.03,64,176,68.2,m,T_400m
152,32.6,6.33,58,176.2,62.3,m,T_400m
153,31.5,6.82,57,174,61,m,T_400m
154,32.6,6.2,73,191,77.5,m,T_400m
155,31,5.93,54,171,57.4,m,T_400m
156,28,5.8,67,174,71.4,m,T_Sprnt
157,33.7,6.56,66,180.2,70.3,m,T_Sprnt
158,30.3,6.76,75,178.5,80.2,m,T_Sprnt
159,38,7.22,78,190.3,84.2,m,Field
160,55.7,8.51,102,185,111.3,m,Field
161,37.5,7.72,74,189,80.7,m,Field
162,112.5,19.94,78,180.1,97.9,m,Field
163,82.7,13.91,106,189.2,123.2,m,Field
164,29.7,6.1,68,182.6,72.9,m,T_Sprnt
165,38.9,7.52,77,186,83,m,T_Sprnt
166,44.8,9.56,69,174.9,75.9,m,T_Sprnt
167,30.9,6.06,66,180.6,70.7,m,T_400m
168,44,7.35,62,178.6,67.1,m,T_400m
169,37.5,6,65,173,69.2,m,T_400m
170,37.6,6.92,62,179.7,67.1,m,T_400m
171,31.7,6.33,66,174.6,70.5,m,T_Sprnt
172,36.6,5.9,67,178,70.8,m,T_Sprnt
173,48,8.84,65,178.5,71,m,T_400m
174,41.9,8.94,63,171.3,69.1,m,T_Sprnt
175,30.9,6.53,59,178,62.9,m,T_400m
176,52.8,9.4,86,189.1,94.8,m,T_Sprnt
177,43.2,8.18,87,195.4,94.6,m,Field
178,113.5,17.41,89,179.1,108.2,m,Field
179,96.9,18.08,80,180.1,97.9,m,Field
180,49.3,9.86,68,179.6,75.2,m,Field
181,42.3,7.29,69,174.7,74.8,m,T_Sprnt
182,96.3,18.72,77,192.7,94.2,m,W_Polo
183,56.5,10.12,68,179.3,76.1,m,W_Polo
184,105.7,19.17,77,197.5,94.7,m,W_Polo
185,100.7,17.24,71,182.7,86.2,m,W_Polo
186,56.8,9.89,72,190.5,79.6,m,W_Polo
187,75.9,13.06,74,191,85.3,m,W_Polo
188,52.8,8.84,68,179.6,74.4,m,W_Polo
189,47.8,8.87,85,192.6,93.5,m,W_Polo
190,76,14.69,75,194.1,87.6,m,W_Polo
191,61.2,8.64,78,193,85.4,m,W_Polo
192,75.6,14.98,86,193.9,101,m,W_Polo
193,43.3,7.82,69,187.7,74.9,m,W_Polo
194,49.5,8.97,79,185.3,87.3,m,W_Polo
195,70,11.63,80,191.5,90,m,W_Polo
196,75.7,13.49,82,184.6,94.7,m,W_Polo
197,57.7,10.25,68,179.9,76.3,m,W_Polo
198,67.2,11.79,82,183.9,93.2,m,W_Polo
199,56.5,10.05,72,183.5,80,m,Tennis
200,47.6,8.51,68,183.1,73.8,m,Tennis
201,60.4,11.5,63,178.4,71.1,m,Tennis
202,34.9,6.26,72,190.8,76.7,m,Tennis
